1033.455	2544.616	10676.65
1184.884	2826.58	8208.488
1055.75	2765	10895.867
1282.062	2948.491	9327.493
1066.491	2654.625	11582.906
1100.102	2633.023	6954.06
1081.339	3155.946	11880.111
900.064	2197.477	7006.938
949.098	3014.354	11006.134
1141.554	2481.232	9731.577
780.143	1442.955	5481.558
758.286	2350.143	9389.347
919.214	2272.777	12353.025
1366.143	3394.143	9437.083
1045.462	2774.231	11929.679
1470.744	3904.329	10876.338
1027.065	2572.032	10371.456
1197.884	3063.92	12574.846
886.811	1988.973	9071.625
1084.384	2657.33	8272.402
